year,net,reason,hold
2021,-1.0086962805603161,stop,323
2021,-1.0406939182140478,stop,29
2021,-0.5078725813168761,eod,342
2021,0.8785405344329271,target,55
2021,0.8709712045987665,target,23
2021,0.5799490518945414,target,200
2021,1.0211748129433296,target,19
2021,-0.548614665140664,eod,157
2021,-1.026986679782996,stop,3
2021,0.687076841573189,target,118
2021,-0.7046855526814987,eod,354
2021,1.0083814412425178,target,6
2021,-1.0223072612911008,stop,23
2021,1.0049427673157503,target,49
2021,-1.0644701101863172,stop,21
2021,-1.028105159898814,stop,88
2021,0.9709789297063904,target,40
2021,-1.0131350476196725,stop,30
2021,-0.5879295147751444,eod,302
2021,-1.0312411148727882,stop,77
2021,1.182155216306993,target,33
2021,0.6464892859959919,target,144
2021,1.2247767965187697,target,26
2021,-0.6293301735356625,eod,342
2021,0.833136680680877,target,32
2021,1.0954930852021219,target,17
2021,0.9566553428323196,target,24
2021,-1.0248200157938627,stop,11
2021,-1.037070729099121,stop,28
2021,-1.0219656220022373,stop,79
2021,0.8676940138156002,target,32
2021,-1.0181031514312262,stop,23
2021,-1.021661715349779,stop,67
2021,0.6982243058528536,target,63
2021,-1.024384744794321,stop,33
2021,-1.0356339411301765,stop,60
2021,-1.0427250573647846,stop,37
2021,-1.0394819181466337,stop,45
2021,0.9413690042292624,target,43
2021,-1.0299215263404211,stop,3
2021,-1.0192255784169069,stop,22
2021,0.7120878678788253,target,281
2021,0.355031662522811,eod,354
2021,1.0362442739146818,target,8
2021,-1.030766965525657,stop,8
2021,0.9823153400842998,target,4
2021,0.7182562757576347,target,27
2021,-1.0351153807069096,stop,16
2021,1.0200281091087064,target,4
2021,0.9092561076945676,target,12
2021,-1.057929843339183,stop,10
2021,-1.027534051339635,stop,13
2021,0.8352749295385729,target,36
2021,0.9315725311440862,target,27
2021,-1.0172663638693893,stop,53
2021,-0.6652861191953027,eod,354
2021,-1.0233721375278138,stop,18
2021,0.8002575333545292,target,56
2021,0.7583682634389604,target,71
2021,0.9712220621523371,target,11
2021,-1.0425959439751287,stop,10
2021,-1.0207331589245807,stop,26
2021,0.9197717864332453,target,39
2021,0.8370173254951918,target,26
2021,-1.0330106433353865,stop,4
2021,0.825599505157139,target,77
2021,-1.022988698688501,stop,83
2021,-1.017010624049946,stop,74
2021,0.7636763771160597,target,88
2021,0.9474631697825243,target,52
2021,0.46457833287075306,target,136
2021,-1.017466786719262,stop,41
2021,-1.0093138376662478,stop,121
2021,0.81152826375885,target,63
2021,-1.019465087221699,stop,89
2021,-1.0203154157217367,stop,25
2021,-1.0083680654391807,stop,157
2021,0.9677047473080573,target,30
2021,1.1016276047840172,target,11
2021,0.8154909427058052,target,46
2021,-1.0108581176960527,stop,30
2021,-1.0181441959468691,stop,43
2021,0.7375436847393687,target,165
2021,0.4059294531778185,target,271
2021,-1.0214925361557485,stop,160
2021,1.1043703919585752,target,183
2021,-1.0152391355094328,stop,132
2021,-1.0457010019258843,stop,5
2021,-1.0266691298845974,stop,60
2021,0.9838919775666753,target,9
2021,0.891014272998134,target,37
2021,-1.0334958949925437,stop,18
2021,1.118076677583846,target,10
2021,-1.0236188478122143,stop,96
2021,0.6992132480500453,target,87
2021,1.06480828893292,target,5
2021,-1.028593757881971,stop,37
2021,-1.0313155661386815,stop,72
2021,0.8159965848058292,target,79
2021,0.9749865368476299,target,12
2021,1.6007960063503741,target,18
2021,-1.026233358554181,stop,14
2021,-1.0134599496466568,stop,228
2021,0.8259561247483683,target,75
2021,-1.0329182234190775,stop,14
2021,-1.0424961718639134,stop,8
2021,0.8760891277978166,target,28
2021,1.0027545269968892,target,8
2021,-1.0316364763365002,stop,10
2021,1.315645251520491,target,27
2021,0.7642726413440531,target,58
2021,-1.0198070015516008,stop,20
2021,-1.0128174282134494,stop,60
2021,1.073129010013078,target,33
2021,1.1086123827105436,target,36
2021,1.2966037221621973,target,7
2021,-1.010431282675905,stop,8
2021,0.9526015428255331,target,28
2021,0.8355339213543614,target,82
2021,-1.0246522312094821,stop,22
2021,0.908017364049814,target,54
2021,-1.0151182688934646,stop,27
2021,0.37370899950036396,target,255
2021,1.228485230113904,target,36
2021,-1.0096230888730144,stop,63
2021,0.9791966871504038,target,17
2021,-1.0169243871784994,stop,26
2021,-1.0203566516526312,stop,21
2021,-1.0341357679884164,stop,30
2021,-1.0155154926784205,stop,32
2021,0.9145034490915117,target,25
2021,-1.0346997761081909,stop,9
2021,-1.0323076726989875,stop,12
2021,1.42917811446164,target,7
2022,-1.0265435872044746,stop,3
2022,-1.0227981474928662,stop,118
2022,0.8608329951226796,target,14
2022,-1.0136563470049127,stop,22
2022,0.4077249045839941,target,198
2022,0.9425954343871752,target,29
2022,-1.0175552589946462,stop,29
2022,1.0920598520569458,target,18
2022,0.6472471641181767,target,183
2022,-1.0146637988852651,stop,20
2022,-1.0041214300213241,stop,123
2022,0.8326602178898787,target,48
2022,0.9515091514956711,target,17
2022,-1.011005597460112,stop,60
2022,1.20103765490778,target,25
2022,-1.0124187635594961,stop,49
2022,0.9750538790463928,target,13
2022,1.117887714779456,target,17
2022,0.6237560843166691,target,237
2022,-1.0133213699136625,stop,191
2022,-1.0127765811732656,stop,30
2022,0.929478527670741,target,90
2022,-1.0171356525625612,stop,25
2022,-1.0060552053792684,stop,65
2022,-1.0091666033167184,stop,67
2022,0.5098412605927906,target,244
2022,0.9233103911475217,target,20
2022,1.0268398082834864,target,19
2022,-1.0115907939300166,stop,33
2022,0.6689508319674121,target,124
2022,0.9880831489570794,target,17
2022,0.5944736395957082,target,204
2022,-1.0104991527065843,stop,31
2022,0.5860726292057632,target,153
2022,0.8347511435485669,target,31
2022,-1.0161869906810217,stop,10
2022,-1.0182731605802398,stop,14
2022,-1.013514503125259,stop,26
